"Part Number","Noun","Kit Name","Manufacturer","State Status","Current Status","Remarks","Form 48 Number","Die Required","Die Number","Shop Name","Updated By","Updated At","History"
"DD-FC1-42014-112","BUSHING","Kit C 125","PMC","Under Indegenization","Under Drawing 13-03-2025","Metallic-Under Drawing Tolerance issue","","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.833Z","1"
"DD-FC1-42014-12","UPPER CAM","Kit C 125","","Under Indegenization","Under Drawing","Metallic-F-17 and sample H/O  TO F-017 TEAM FOR CAD Model requested by PMC 05-03-25","","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.834Z","1"
"YZL25-1303","TAPER SLEEVE","Kit C 125","","Under Indegenization","Under Drawing","Metallic-Under Drawing","","false","","","Abdullah","2025-01-14T22:27:50.834Z","1"
"YZL25-1002","LOCK NUT","Kit C 125","Machine shop","Under Indegenization","Under Feasibility 30-12-24","Metallic-Under Feasibility 30-12-24","","false","","","Abdullah","2025-01-14T22:27:50.834Z","1"
"HB4-56J7-31","Seal Ring","Kit C 125","","Part Trial Testing","Under Trial Test SHOP 1","Rubber-Under Trial Test SHOP 1","WLOGTF180720220021","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.834Z","1"
"HB4-58-31-2B","Guard Ring","Kit C 125","","Part Trial Testing","Under Trial Test SHOP 1","Rubber-FZ20-1009","WLOGTF180720220022","false","","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.834Z","1"
"HB4-56J7-121","Seal Ring","Kit C 125","","Part Trial Testing","Under Trial Test SHOP 1","Rubber-FZ20-1005","WLOGTF250820220008","true","81-K8-27","AFR ACCY SHOP I","Abdullah","2025-01-14T22:27:50.835Z","1"
"HM12X1.5GB54-45","Nut","Kit C 125","Recovery Cell","Part Trial Testing","Under Trial Test Recovery Cell, TRIAL ISSUE CALL TO 2091 AFM AMJAD, NEW F-48 RAISED PART MISPLACED BY USER","Metallic-ALSO IN K8 PARTS V2 SR 103","WTFMS2003250083","false","","RECOVERY CELL","Abdullah","2025-01-14T22:27:50.835Z","1"
"GB/T67-M2x5","FILLISTER HEAD SCREW","Kit C 125","Machine shop","Under Indegenization","Under Drawing 18-03-25","Metallic-Under Drawing 18-03-25","","false","","AVIONIC SHOP","Abdullah","2025-01-14T22:27:50.835Z","1"
"CD1-0000-11","CONDUCTING RING","Kit C 125","","Under Indegenization","Under Drawing 06-03-25","Metallic-Material, Hardness and ST info N/A","","false","","AVIONIC SHOP","Abdullah","2025-01-14T22:27:50.835Z","1"
"CD1-0000-01","SCREW","Kit C 125","Machine shop","Under Indegenization","Under Drawing 18-03-25","Metallic-Under Drawing 18-03-25","","false","","AVIONIC SHOP","Abdullah","2025-01-14T22:27:50.835Z","1"
"CD1-0000-15","BUSH","Kit C 125","Machine shop","Under Indegenization","Under Drawing 06-03-25","Metallic-Under Feasibility 21-03-25","","false","","AVIONIC SHOP","Abdullah","2025-01-14T22:27:50.835Z","1"
"HB1-521GD-5X2X1","GASKET","Kit C 125","","Under Indegenization","Under Drawing","Rubber-Under Drawing","","false","","","Abdullah","2025-01-14T22:27:50.835Z","1"
"GB/T6170-1986-M2.5-1Cr18Ni9Ti","NUT","Kit C 125","","Under Indegenization","Sample Awaiting","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.836Z","1"
"GB/T6170-1986-M5-1Cr18Ni9Ti","NUT","Kit C 125","","Form 17 Pending","Form 17 Pending","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.836Z","1"
"GB861.1-87-2.5-Ep·ZnNi3·P","INTERNAL TOOTH LOCKING WASHER","Kit C 125","","Beyond Capability","Beyond Design","Metallic-","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.836Z","1"
"GB/T818-2000-3-A140","WASHER","Kit C 125","PMC","Part Under TF","CAN BE MFG","Metallic-RE FEASIBILITY SENT TO PMC 04-03-25","WTFPM1303250001","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.836Z","1"
"GB/T818-2000-M2x5-A2-70","SCREW","Kit C 125","Machine shop","Under Indegenization","Under Feasibility 08-01-25","Metallic-Under Feasibility 08-01-25","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.836Z","1"
"GB/T818-2000-M2x6-A2-70","SCREW","Kit C 125","Machine shop","Part Under TF","Under Feasibility 26-02-25","Metallic-Under Feasibility 26-02-25","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.836Z","1"
"GB/T818-2000-M3x6-A2-70","SCREW","Kit C 125","","Part Under TF","Under Drawing","Metallic-Under Drawing","","false","","","Abdullah","2025-01-14T22:27:50.836Z","1"
"GB/T819.2-1997-M2.5X5-A2-70","SCREW","Kit C 125","Machine shop","Under Indegenization","Under Feasibility 11-03-25","Metallic-Under Feasibility 11-03-25","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.836Z","1"
"GB/T819.2-1997-M2.5x80·Zn5~8·DH(Black)","SCREW","Kit C 125","","Under Indegenization","Under Drawing","Metallic-Under Drawing","","false","","","Abdullah","2025-01-14T22:27:50.837Z","1"
"GB/T819.2-1997-M2x6-A2-70","SCREW","Kit C 125","","Under Indegenization","Under Drawing","Metallic-Under Drawing","","false","","","Abdullah","2025-01-14T22:27:50.837Z","1"
"HB2-6-6X6","RUBBER RING","Kit C 125","","Die under Drawing","Die under Drawing 04-02-25","Rubber-Die under Drawing 04-02-25","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.838Z","1"
