Sno,partNumber,noun,kitName,stateStatus,currentStatus,manufacturer,form48number,userName,dieNumber,remarks
61,YDF33-1013,COVER,Kit C,MCL,MCL Feb,Machine Shop,WTFMS1009240010,AFR ACCY SHOP I,,
62,YDF23-105,UPPER VALVE,Kit C,Part Trial Testing,"H/O to user 18-02-25 Comp awt in shop Comp Will available after 15 March, 25",Machine Shop,WTFMS1009240011,AFR ACCY SHOP I,,
63,RDF44-0006,INLET PIPE JOINT,Kit C 125,Under Indegenization,Under Drawing,Machine shop,,AFR ACCY SHOP I,,Metallic-Under Feasibility 21-03-25
64,YDF33-2002,BUSH,Kit C 125,MCL,MCL,,,,,Metallic-
65,YDT12-009,STOP RING,Kit C 125,Part Under TF,Under Feasibility 10 Sep 2024,SPRING SHOP,WTFSP1903250005,AFR ACCY SHOP II,,Metallic-Under Feasibility 10 Sep 2024
66,QX-20,SCREW PLUG,Kit C 125,MCL,MCL,,,,,Metallic-
67,YDF23-105,UPPER VALVE,Kit C 125,Part Trial Testing,Under Trial Test,ACC SHOP 1,,,,Metallic-ALSO IN 62 KIT PARTS
68,YZL33-2005,GASKET,Kit C 125,Part Under TF,CAN BE MFG,Machine shop,WTFMS2403250002,AFR ACCY SHOP I,,Metallic-Under Feasibility 13-01-25
69,YZL33-2006,GASKET,Kit C 125,Part Under TF,CAN BE MFG,Machine shop,WTFMS2403250001,AFR ACCY SHOP I,,Metallic-Under Feasibility 13-01-25
70,YZL33-2011,SPRING,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-Under Drawing
71,YZL26-0006,ECCENTRIC RING,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-Under Drawing
72,HB1-710B6x52,TORQUE LINK PIN,Kit C 125,Under Indegenization,under Drawing,,,,,Metallic-under Drawing
73,DD-FC1-42014-111,BUSHING,Kit C 125,Part Under TF,Under Feasibility,PMC,WTFPM1303250003,AFR ACCY SHOP I,,Metallic-Under Feasibility 08-01-25
74,DD-FC1-42014-112,BUSHING,Kit C 125,Under Indegenization,Under Drawing 13-03-2025,PMC,,AFR ACCY SHOP I,,Metallic-Under Drawing Tolerance issue
75,DD-FC1-42014-12,UPPER CAM,Kit C 125,Under Indegenization,Under Drawing,,,AFR ACCY SHOP I,,Metallic-F-17 and sample H/O  TO F-017 TEAM FOR CAD Model requested by PMC 05-03-25
76,YZL25-1303,TAPER SLEEVE,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-Under Drawing
77,YZL25-1002,LOCK NUT,Kit C 125,Under Indegenization,Under Feasibility 30-12-24,Machine shop,,,,Metallic-Under Feasibility 30-12-24
